English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
"degree, level",B1,masculine,stupanj,X,"mjera napredovanja, visine ili razine",X,Temperatura je pala ispod stupnja ništice.,The temperature dropped below zero degrees.,,
thing,A2,feminine,stvar,X,predmet ili pojava koja postoji,X,Ova stvar je zanimljiva.,This thing is interesting.,,
real,B2,adjective,stvaran,X,koji postoji u stvarnosti,X,"Njihov strah bio je stvaran, a ne umišljen.","Their fear was real, not imagined.",,
"creating, creation",B2,neuter,stvaranje,X,proces stvaranja nečega novog,X,Stvaranje umjetnosti zahtijeva maštu i strpljenje.,Creating art requires imagination and patience.,,
create,B1,verb,stvarati,X,stvarati ili oblikovati,X,Volim stvarati nove recepte u kuhinji.,I like to create new recipes in the kitchen.,,
really,A2,adverb,stvarno,X,doista; zaista,X,To je stvarno dobar film.,That is a really good movie.,,
reality,B2,feminine,stvarnost,X,ono što stvarno postoji; suprotnost mašti,X,Stvarnost ponekad nadmašuje i najluđu maštu.,Reality sometimes surpasses even the wildest imagination.,,
create,B2,verb,stvoriti,X,dati postojanje nečemu,X,Želio je stvoriti atmosferu povjerenja u kojoj tim može slobodno raditi.,He wanted to create an atmosphere of trust in which the team could work freely.,,
Saturday,A1,feminine,subota,X,dan u tjednu koji dolazi nakon petka,X,Subota je slobodan dan.,Saturday is a free day.,,
court,B1,masculine,sud,X,institucija koja sudi prema zakonu,X,Sud je danas donio važnu odluku.,The court made an important decision today.,,
judge,B2,masculine,sudac,X,osoba koja vodi sudski postupak,X,Sudac je pažljivo saslušao sve dokaze.,The judge listened carefully to all the evidence.,,
"destiny, fate",B2,feminine,sudbina,X,tijek života koji se smatra unaprijed određenim,X,Neki ljudi vjeruju da je sudbina unaprijed određena.,Some people believe that destiny is predetermined.,,
dishes,A2,neuter,suđe,X,predmeti koji se koriste za jelo i kuhanje,X,Moram oprati suđe nakon večere.,I have to wash the dishes after dinner.,,
judge,B2,verb,suditi,X,donositi odluke o nečijoj krivnji ili sporu,X,Ne možemo suditi nekome bez činjenica.,We cannot judge someone without facts.,,
participation,B1,neuter,sudjelovanje,X,sudjelovanje u aktivnosti ili događaju,X,Sudjelovanje učenika bilo je vrlo aktivno.,The participation of the students was very active.,,
"participate, take part",B2,verb,sudjelovati,X,biti dio nečega zajedno s drugima,X,Rado je sudjelovao u projektu koji je pomogao lokalnoj zajednici.,He gladly participated in a project that helped the local community.,,
courtroom,B1,feminine,sudnica,X,prostorija u kojoj se održavaju sudske rasprave,X,Sudnica je bila puna zbog velikog interesa javnosti.,The courtroom was full due to the great public interest.,,
judiciary,C,neuter,sudstvo,X,organizirani sustav sudova,X,"Sudstvo je, zbog rasutih nadležnosti, izgubilo koherentnost.","The judiciary, due to its scattered jurisdiction, has lost coherence.",,
interlocutor,B2,masculine,sugovornik,X,osoba koja sudjeluje u razgovoru,X,Sugovornik je iznosio argumente vrlo odmjereno.,The interlocutor presented arguments very measuredly.,,
dry,A2,adjective,suh,X,koji nema vlage; bez tekućine,X,Ručnik je potpuno suh.,The towel is completely dry.,,
teammate,B2,masculine,suigrač,X,osoba koja igra u istom timu,X,Suigrač ga je pohvalio za smirenost u ključnom trenutku utakmice.,A teammate praised him for his composure at a crucial moment in the game.,,
skirt,A1,feminine,suknja,X,odjevni predmet koji prekriva donji dio tijela,X,Na stolici visi zelena suknja.,A green skirt is hanging on the chair.,,
"conflict, clash, confrontation",B1,masculine,sukob,X,sukob interesa ili mišljenja između dviju strana,X,Sukob između susjeda trajao je mjesecima.,The conflict between the neighbors lasted for months.,,
"forest, woods",A2,feminine,šuma,X,prostor prekriven drvećem,X,U šumi ima mnogo životinja.,There are many animals in the forest.,,
forestry,B2,neuter,šumarstvo,X,upravljanje i uzgoj šuma,X,Šumarstvo brine o održivom upravljanju šumama.,Forestry takes care of the sustainable management of forests.,,
"doubt, suspicion",B2,feminine,sumnja,X,nedostatak sigurnosti ili povjerenja,X,Sumnja u vlastite sposobnosti može kočiti napredak.,Doubt in one’s own abilities can hinder progress.,,
doubt,B2,verb,sumnjati,X,imati sumnju ili ne biti siguran u nešto,X,Počeo sam sumnjati u istinitost njegovih riječi.,I began to doubt the truth of his words.,,
sunny,A2,adjective,sunčan,X,koji ima puno sunca,X,Danas je sunčan dan.,Today is a sunny day.,,
sunglasses,A2,feminine,sunčane naočale,X,naočale koje štite oči od sunčeve svjetlosti,X,Zaboravio sam sunčane naočale kod kuće.,I forgot my sunglasses at home.,,
sunbathe,A2,expression,sunčati se,X,ležati na suncu radi tamnjenja kože,X,Ljeti volim sunčati se na plaži.,In summer I like to sunbathe on the beach.,,
sun,A1,neuter,sunce,X,zvijezda koja daje svjetlost i toplinu zemlji,X,Sunce sja.,The sun is shining.,,
ham,A1,feminine,šunka,X,"sušeno meso svinje, često soljeno",X,Za doručak jedem kruh i šunku.,I'm eating bread and ham for breakfast.,,
"rival, opponent",B2,masculine,suparnik,X,osoba koja se natječe protiv druge,X,Svaki suparnik u debati morao je braniti svoju tezu.,Each opponent in the debate had to defend his thesis.,,
opposite,B1,adjective,suprotan,X,koji je suprotan po značenju ili smjeru,X,Njihova mišljenja su potpuno suprotna.,Their opinions are completely opposite.,,
"opposition, contrast",B2,feminine,suprotnost,X,ono što je suprotno od nečega drugog,X,Tamna boja često je suprotnost svjetlosti i čistoći.,Dark color is often the opposite of light and purity.,,
husband,B1,masculine,suprug,X,muška osoba u bračnoj zajednici,X,Moj suprug radi u bolnici.,My husband works in a hospital.,,
wife,B1,feminine,supruga,X,ženska osoba u bračnoj zajednici,X,Njegova supruga govori četiri jezika.,His wife speaks four languages.,,
collaborate,B2,verb,suraditi,X,raditi zajedno na zajedničkom zadatku,X,Dvije su institucije suradile na zajedničkom istraživanju.,The two institutions collaborated on a joint research project.,,
surfing,A2,neuter,surfanje,X,vožnja na dasci po valovima,X,Surfanje na valovima izgleda zabavno.,Surfing the waves looks fun.,,
surf,A2,verb,surfati,X,voziti se na valovima,X,Naučio sam surfati prošlog ljeta.,I learned to surf last summer.,,
dryer,A2,feminine,sušilica,X,stroj za sušenje rublja,X,Sušilica osuši rublje za sat vremena.,The dryer dries the clothes in an hour.,,
neighbor,A2,masculine,susjed,X,osoba koja živi blizu u susjedstvu,X,Moj susjed ima psa.,My neighbor has a dog.,,
neighborhood,A2,neuter,susjedstvo,X,skup kuća i ljudi koji žive blizu jedni drugih,X,U mom susjedstvu ima puno drveća.,There are a lot of trees in my neighborhood.,,
system,B2,masculine,sustav,X,skup međusobno povezanih dijelova koji čine cjelinu,X,Sustav javnog prijevoza u gradu treba stalne promjene.,The public transport system in the city needs constant changes.,,
systematic,B2,adjective,sustavan,X,koji se provodi po određenom sustavu,X,Projekt zahtijeva sustavan pristup i dobru organizaciju.,The project requires a systematic approach and good organization.,,
tomorrow,A1,adverb,sutra,X,dan nakon današnjeg,X,Sutra idem u kino.,Tomorrow I am going to the movie theater.,,
the next day,B2,adverb,sutradan,X,sljedećeg dana nakon određenog događaja,X,Sutradan smo se vratili kako bismo završili posao.,The next day we returned to finish the work.,,
tear,B1,feminine,suza,X,kap tekućine koja izlazi iz oka,X,Na njezinom licu pojavila se suza kad je čula vijest.,A tear came to her face when she heard the news.,,
argue,B1,expression,svađati se,X,razmjenjivati ljutite riječi ili biti u sukobu,X,Braća se često svađaju oko sitnica.,Brothers often argue over small things.,,
wedding,A2,feminine,svadba,X,svečano okupljanje i obred sklapanja braka,X,Na svadbi je bilo puno pjesme i plesa.,At the wedding there was lots of singing and dancing.,,
quarrelsome,B2,adjective,svadljiv,X,koji se lako svađa; sklon prepiranju,X,Previše je svadljiv i stalno traži rasprave.,He is too argumentative and always looks for debates.,,
"quarrelsomeness, arguability",B2,feminine,svadljivost,X,sklonost svađanju; prepirljivost,X,Njegova svadljivost često dovodi do nepotrebnih sukoba.,His quarrelsomeness often leads to unnecessary conflicts.,,
"definitely, certainly",B1,adverb,svakako,X,bez sumnje; sigurno,X,Svakako ću doći sutra.,I'll definitely come tomorrow.,,
"every, each",A2,adjective,svaki,X,koji se odnosi na svaku osobu ili stvar,X,Svaki učenik ima knjigu.,Every student has a book.,,
"daily, everyday",B1,adjective,svakodnevan,X,koji se ponavlja svaki dan,X,Šetnja uz rijeku postala je moj svakodnevni običaj.,Walking by the river has become my everyday habit.,,
"everyone, everybody",B1,pronoun,svatko,X,"svaka osoba, bilo tko",X,Svatko ima pravo na svoje mišljenje.,Everyone has the right to their own opinion.,,
everything,A1,pronoun,sve,X,sve stvari ili pojave zajedno,X,Sve je na svom mjestu.,Everything is in its place.,,
"formal, ceremonial",B2,adjective,svečan,X,koji ima svečani ton ili važnost,X,Svečan govor dirnuo je mnoge uzvanike.,The formal speech moved many of the guests.,,
"space, universe",B1,masculine,svemir,X,prostor izvan Zemlje u kojem se nalaze zvijezde i planeti,X,Svemir je ogroman i tajanstven.,The universe is vast and mysterious.,,
"space, cosmic",B1,adjective,svemirski,X,koji se odnosi na svemir ili putovanja izvan Zemlje,X,Astronauti rade u svemirskoj stanici mjesecima.,Astronauts work in the space station for months.,,
holy,B1,adjective,svet,X,koji ima religijsku važnost,X,Ovo mjesto je za ljude svetog značaja.,This place is of sacred significance for people.,,
saint,B2,masculine,svetac,X,osoba proglašena svetom,X,Stari rukopis opisuje život sveca koji je putovao po cijeloj regiji.,An old manuscript describes the life of a saint who traveled throughout the region.,,
university,A2,neuter,sveučilište,X,viša škola na kojoj se studira i predaje,X,Moje sveučilište nudi mnogo različitih studijskih programa.,My university offers many different study programs.,,
all,A1,adjective,svi,X,koji obuhvaća sve osobe ili stvari bez iznimke,X,Svi učenici su u školi.,All the students are in school.,,
"everyone, everybody",A1,pronoun,svi,X,zamjenica koja označava sve ljude muškog roda u množini,X,Svi su došli na zabavu.,Everyone came to the party.,,
May,A1,masculine,svibanj,X,peti mjesec u godini,X,Svibanj je cvjetni mjesec.,May is a flowery month.,,
like,A2,expression,sviđati se,X,biti ugodan ili privlačan nekome,X,Meni se sviđa ta pjesma.,I like that song.,,
candle,A2,feminine,svijeća,X,valjkasti voštani izvor svjetla,X,Upalila sam svijeću jer je nestalo struje.,I lit a candle because the power went out.,,
consciousness,B1,feminine,svijest,X,stanje svjesnosti; sposobnost razmišljanja i spoznaje,X,Svijest o zdravlju postaje sve važnija u društvu.,Health awareness is becoming increasingly important in society.,,
world,A2,masculine,svijet,X,zemlja i sve što postoji na njoj,X,Djeca žele promijeniti svijet.,Children want to change the world.,,
"bright, light",B1,adjective,svijetao,X,koji daje svjetlo ili ima svijetlu boju,X,Dan je bio svijetao i sunčan.,The day was bright and sunny.,,
"pig, pork",A1,feminine,svinja,X,životinja koja se uzgaja zbog mesa i često živi na farmi,X,Svinja je u blatu.,The pig is in the mud.,,
play,A2,verb,svirati,X,izvoditi glazbu na instrumentu,X,On zna svirati gitaru i klavir.,He can play the guitar and the piano.,,
witness,B2,verb,svjedočiti,X,dati iskaz o viđenom događaju,X,Počeo je svjedočiti o događajima koji su ranije bili nepoznati.,He began to testify about events that were previously unknown.,,
witness,B1,masculine,svjedok,X,osoba koja svjedoči događaju,X,Svjedok je opisao što je vidio te večeri.,The witness described what he saw that evening.,,
aware,B1,adjective,svjestan,X,koji ima svijest o sebi ili okolnostima,X,Postao je svjestan svojih pogrešaka.,He became aware of his mistakes.,,
light,A2,neuter,svjetlo,X,zračenje koje omogućuje vidjeti predmete,X,Svjetlo u sobi je jako.,The light in the room is bright.,,
light,B2,feminine,svjetlost,X,energija koja omogućuje da se stvari vide,X,Svjetlost svijeće ispunila je sobu.,The light of the candle filled the room.,,
"luminous, glittering, glimmering, sparkling, gleaming",B2,adjective,svjetlucav,X,koji blago svjetluca ili sja,X,Na vodi se vidio svjetlucav odraz mjeseca.,"On the water, a shimmering reflection of the moon could be seen.",,
global,B1,adjective,svjetski,X,koji se odnosi na svijet u cjelini,X,Nogomet je svjetski poznat sport.,Football is a world-famous sport.,,
fresh,A2,adjective,svjež,X,koji je nov ili hladan; koji nije star ni pokvaren,X,Kupila sam svjež kruh u pekari.,I bought fresh bread in the bakery.,,
undress,A1,expression,svlačiti se,X,skidati odjeću s tijela,X,Dijete se svlači prije spavanja.,The child undresses before going to bed.,,
one's own,A2,adjective,svoj,X,koji pripada osobi; vlastiti,X,Svaki učenik ima svoj zadatak.,Each student has his own task.,,
"purpose, point, goal",B1,feminine,svrha,X,ono čemu je nešto namijenjeno,X,Svrha projekta je poboljšati uslugu korisnicima.,The purpose of the project is to improve customer service.,,
take off,A2,verb,svući,X,skinuti odjeću s tijela,X,Morao sam svući mokru majicu.,I had to take off my wet shirt.,,
"all over, everywhere",A1,adverb,svuda,X,na svim mjestima,X,Pijesak mi je svuda po cipelama nakon plaže.,There's sand all over my shoes after the beach.,,
everywhere,A2,adverb,svugdje,X,na svim mjestima,X,Tražio sam ključeve svugdje u stanu.,I've been looking for my keys everywhere in the apartment.,,
"tablet, slate, table",B1,feminine,tablica,X,ploča s napisanim ili označenim podacima,X,Na tablici su prikazani rezultati eksperimenta.,The results of the experiment are shown in the table.,,
then,A2,adverb,tada,X,u to vrijeme; u tom trenutku,X,Tada sam bio u školi.,I was in school at the time.,,
that,A2,adjective,taj,X,koji se odnosi na određenu osobu ili stvar,X,Taj čovjek radi u banci.,That man works in a bank.,,
secret,B2,adjective,tajan,X,koji se skriva od drugih; nedostupan javnosti,X,Policija istražuje tajan slučaj nestanka.,The police are investigating a mysterious disappearance.,,
secret,A2,feminine,tajna,X,nešto što nije poznato drugima; skrivena činjenica,X,To je bila velika tajna između prijatelja.,It was a big secret between friends.,,
secretary,B1,feminine,tajnica,X,osoba koja obavlja uredske i administrativne poslove,X,Tajnica mi je poslala točan raspored sastanaka za cijeli tjedan.,My secretary sent me the exact schedule of meetings for the entire week.,,
secretary,B1,masculine,tajnik,X,osoba odgovorna za administrativne i službene poslove u ustanovi,X,Tajnik udruge najavio je nove projekte za sljedeću godinu.,The secretary of the association announced new projects for the coming year.,,
"so, like that, like this",A1,adverb,tako,X,na način koji se upravo opisuje,X,On govori tako polako.,He speaks so slowly.,,
"also, too, likewise",A2,adverb,također,X,isto; također,X,Također volim čitati knjige.,I also like to read books.,,
taxi,A1,masculine,taksi,X,vozilo za prijevoz putnika uz naplatu,X,Taksi čeka ispred hotela.,The taxi is waiting in front of the hotel.,,
talent,B1,masculine,talent,X,urođena sposobnost za neku djelatnost,X,Ima talent za jezike i brzo uči nove riječi.,He has a talent for languages ​​and learns new words quickly.,,
talented,B1,adjective,talentiran,X,koji posjeduje talent,X,On je vrlo talentiran glazbenik.,He is a very talented musician.,,
Italian,A1,masculine,talijanski,X,jezik kojim se govori u italiji,X,Učimo talijanski u školi.,We are learning Italian at school.,,
Italian,A1,adjective,talijanski,X,"koji se odnosi na ljude, jezik ili kulturu italije",X,Volim talijanski sir.,I like Italian cheese.,,
darkness,B1,feminine,tama,X,nedostatak svjetla,X,U sobi je bila potpuna tama.,In the room there was complete darkness.,,
dark,B1,adjective,taman,X,koji ima tamnu boju ili malo svjetla,X,Nosio je taman kaput.,He wore a dark coat.,,
"dungeon, prison",B2,feminine,tamnica,X,podzemni zatvor ili tamni prostor za zarobljenike,X,Zatvorenik je proveo deset godina u tamnici.,The prisoner spent ten years in prison.,,
there,A1,adverb,tamo,X,na mjestu koje je udaljeno od govornika,X,Moj prijatelj živi tamo.,My friend lives there.,,
thin,B1,adjective,tanak,X,koji ima malu debljinu,X,Olovka je tanka i lako se lomi.,The pencil is thin and breaks easily.,,
"plate, dish",A1,masculine,tanjur,X,posuda iz koje se jede hrana,X,Tanjur nosim na stol.,I carry the plate to the table.,,
"tariff, fee",B1,feminine,tarifa,X,cjenik ili iznos naknade,X,Promijenila se tarifa za gradski prijevoz.,The fare for public transport has changed.,,
dad,A1,masculine,tata,X,muškarac koji ima dijete,X,Tata vozi auto na posao.,Dad drives the car to work.,,
pan,A2,feminine,tava,X,plitka posuda za prženje hrane,X,Na tavi pržim jaja svako jutro.,I fry eggs on the pan every morning.,,
attic,B2,masculine,tavan,X,prostor ispod krova u kući,X,Na tavanu smo pronašli stare fotografije.,In the attic we found old photographs.,,
"and then, and, now",B1,conjunction,te,X,"povezuje rečenice u nizu, slično kao “i”",X,Na sastanku su govorili o budžetu te o novim projektima.,At the meeting they spoke about the budget and also about new projects.,,
course,A2,masculine,tečaj,X,nastava ili obuka iz određenog područja,X,Pohađam tečaj engleskog jezika.,I’m attending an English course.,,
fluent,B2,adjective,tečan,X,koji govori tečno i bez zastoja,X,Govorio je tečnim i prirodnim hrvatskim jezikom.,He spoke fluent and natural Croatian.,,
flow,B1,verb,teći,X,kretati se poput tekućine u određenom smjeru,X,Rijeka teče kroz središte grada.,A river flows through the city center.,,
"fluency, fluidity",B2,feminine,tečnost,X,svojstvo tečnosti govora ili kretanja,X,Tečnost govora dolazi s dugim vježbanjem i svakodnevnim korištenjem jezika.,Fluency in speech comes with long practice and daily use of the language.,,
technician,B1,masculine,tehničar,X,osoba koja obavlja tehničke poslove,X,Tehničar popravlja kvar na stroju.,A technician repairs a broken machine.,,
technical,B1,adjective,tehnički,X,koji se odnosi na tehniku,X,Tim koristi tehnički nacrt za izgradnju mosta.,The team uses a technical blueprint to build a bridge.,,
technically,B2,adverb,tehnički,X,na način vezan uz tehniku,X,"Tehnički gledano, ugovor je još uvijek važeći.","Technically, the contract is still valid.",,
technology,B1,feminine,tehnologija,X,primjena znanstvenih spoznaja u praksi,X,Nova tehnologija brzo mijenja način rada i komunikacije.,New technology is quickly changing the way of working and communicating.,,
technological,B2,adjective,tehnološki,X,koji se odnosi na tehnologiju,X,Tehnološki napredak mijenja način na koji radimo i učimo.,Technological advances are changing the way we work and learn.,,
technologically,C,adverb,tehnološki,X,na način povezan s tehnologijom,X,Sustav se tehnološki razvija brže nego što regulatorni okvir može pratiti.,The system is technologically developing faster than the regulatory framework can keep up.,,
"only, just",A2,adverb,tek,X,upravo; nedavno,X,Imam tek dvije kune u džepu.,I only have two kuna in my pocket.,,
appetite,B2,masculine,tek,X,želja za hranom,X,Nakon dugog puta vratio mi se tek i napokon sam mogao normalno jesti.,"After a long journey, my appetite returned and I was finally able to eat normally.",,
text,A2,masculine,tekst,X,napisan skup rečenica s određenom svrhom,X,Pročitao sam zanimljiv tekst u novinama.,I read an interesting text in the newspaper.,,
liquid,B2,feminine,tekućina,X,tvar koja teče i nema čvrst oblik,X,Voda je tekućina koja je nužna za život.,Water is a liquid that is essential for life.,,
"phone, telephone",A1,masculine,telefon,X,uređaj za razgovor na daljinu,X,Telefon zvoni glasno.,The telephone rings loudly.,,
television,A2,feminine,televizija,X,medij koji prenosi sliku i zvuk,X,Televizija često utječe na mišljenje ljudi.,Television often influences people’s opinions.,,
"TV set, television",A1,masculine,televizor,X,uređaj koji prima i prikazuje televizijske programe,X,Televizor je u sobi.,The TV set is in the room.,,
"topic, subject, theme",A2,feminine,tema,X,"glavna ideja ili predmet razgovora, teksta ili rasprave",X,Tema današnje lekcije je putovanje.,The topic of today’s lesson is travel.,,
foundation,B1,masculine,temelj,X,čvrsta osnova na kojoj nešto stoji,X,Povjerenje je temelj svakog dobrog odnosa.,Trust is the foundation of every good relationship.,,
"fundamental, essential, basic",B2,adjective,temeljni,X,koji tvori osnovu; ključan,X,Transparentnost je temeljni uvjet za odgovorno upravljanje.,Transparency is a fundamental condition for responsible governance.,,
temperature,A2,feminine,temperatura,X,stupanj topline tijela ili zraka,X,Temperatura je danas visoka.,The temperature is high today.,,
tennis,A1,masculine,tenis,X,sport u kojem se loptica udara reketom preko mreže,X,Igram tenis svake subote u parku.,I play tennis every Saturday in the park.,,
theology,B2,feminine,teologija,X,znanost o Bogu i religijskim pitanjima,X,"Teologija istražuje odnos između vjere, razuma i društva.","Theology explores the relationship between faith, reason, and society.",,
theory,B1,feminine,teorija,X,skup ideja koje objašnjavaju neku pojavu,X,Znanstvena teorija mora biti provjerena dokazima.,A scientific theory must be verified by evidence.,,
carpet,A2,masculine,tepih,X,tkanina položena na pod,X,Na podu je novi tepih.,There is a new carpet on the floor.,,
terrace,A2,feminine,terasa,X,otvoreni prostor uz kuću ili stan za sjedenje,X,Na terasi sjedimo i razgovaramo.,We sit and talk on the terrace.,,
"weight, burden",B1,masculine,teret,X,nešto teško što se nosi; opterećenje,X,Teret na njegovim ramenima postajao je sve veći.,The burden on his shoulders was becoming heavier and heavier.,,
gym,A2,feminine,teretana,X,prostor s uređajima za vježbanje snage i kondicije,X,Teretana je otvorena svaki dan od sedam sati.,The gym is open every day from seven o’clock.,,
territory,B1,masculine,teritorij,X,područje pod nečijom kontrolom,X,Teritorij je podijeljen prema prirodnim granicama.,The territory is divided according to natural borders.,,
territorial,B2,adjective,teritorijalni,X,koji se odnosi na teritorij,X,Teritorijalni sporovi zahtijevaju diplomatski pristup.,Territorial disputes require a diplomatic approach.,,
appointment,B1,masculine,termin,X,dogovoreno vrijeme za sastanak ili uslugu,X,Imam termin kod zubara u deset sati.,I have a dentist appointment at ten o'clock.,,
terror,B2,masculine,teror,X,uporaba sile i straha radi postizanja cilja,X,Stanovnici su živjeli u stalnom strahu od terora rata.,The residents lived in constant fear of the terror of war.,,
difficulty,B1,feminine,teškoća,X,nešto što je teško učiniti ili savladati,X,Prebrodila je mnoge teškoće u svom životu.,She overcame many difficulties in her life.,,
test,A1,masculine,test,X,provjera znanja ili sposobnosti,X,Danas imamo test iz matematike.,Today we have a math test.,,
testicle,C,masculine,testis,X,muška spolna žlijezda koja stvara spermije,X,Upala jednog testisa može uzrokovati bol i privremenu neplodnost.,Inflammation of one testicle can cause pain and temporary infertility.,,
aunt,A2,feminine,tetka,X,sestra majke ili oca,X,Moja tetka je liječnica.,My aunt is a doctor.,,
thesis,B2,feminine,teza,X,tvrdnja koju treba dokazati,X,Teza je dobro argumentirana i logično strukturirana.,The thesis is well-argued and logically structured.,,
"weight, gravity",B1,feminine,teža,X,sila gravitacije; opterećenje,X,Ova zadaća mi je bila teža nego što sam očekivao.,This task was harder for me than I expected.,,
"difficult, heavy",A2,adjective,težak,X,koji ima veliku težinu; koji je naporan,X,Matematika je težak predmet.,Mathematics is a difficult subject.,,
you,A1,pronoun,ti,X,zamjenica kojom se govori osobi kojoj se obraćamo,X,Ti si moj prijatelj.,You are my friend.,,
quiet,A2,adjective,tih,X,koji ne stvara buku; miran,X,Stan je miran i tih.,The apartment is peaceful and quiet.,,
course,B2,masculine,tijek,X,smjer ili tok kojim se nešto odvija,X,Tijek događaja bio je drukčiji nego što su očekivali.,The course of events was different than they expected.,,
body,A2,neuter,tijelo,X,"ljudska ili životinjska cjelina od kostiju, mesa i organa",X,Tijelo treba odmor.,The body needs rest.,,
dough,A2,neuter,tijesto,X,masa od brašna i tekućine za pečenje kruha ili kolača,X,Tijesto treba ostaviti da se digne.,The dough needs to be left to rise.,,
team,A2,masculine,tim,X,skupina osoba koje zajedno rade na zajedničkom cilju,X,Naš tim je pobijedio u natjecanju.,Our team won the competition.,,
teenager,A2,masculine,tinejdžer,X,mlada osoba u tinejdžerskoj dobi,X,Tinejdžer traži više privatnosti u sobi.,My teenager wants more privacy in his room.,,
teen,A2,adjective,tinejdžerski,X,koji pripada tinejdžerima,X,Čitam njegov tinejdžerski dnevnik za školu.,I read his teenage diary for school.,,
type,A2,masculine,tip,X,vrsta ili oblik nečega,X,On je tip koji uvijek kasni.,He’s the kind of guy who’s always late.,,
typical,B1,adjective,tipičan,X,koji ima obilježja određene vrste,X,To je tipičan primjer mediteranskog sela.,That’s a typical example of a Mediterranean village.,,
keyboard,B1,feminine,tipkovnica,X,uređaj s tipkama za unos podataka u računalo,X,Tipkovnica na laptopu više ne radi.,The keyboard on my laptop no longer works.,,
turquoise,B2,adjective,tirkizan,X,koji ima nijansu plave i zelene boje,X,More ima tirkiznu boju pod suncem.,The sea has a turquoise color under the sun.,,
silence,B1,feminine,tišina,X,potpuni nedostatak zvuka,X,U knjižnici vlada potpuna tišina.,There is complete silence in the library.,,
thousand,A2,numeral,tisuća,X,broj od tisuću jedinica,X,Na koncertu je bilo tisuću ljudi.,There were a thousand people at the concert.,,
millennium,B2,neuter,tisućljeće,X,razdoblje od tisuću godina,X,U prošlom tisućljeću nastale su prve velike civilizacije.,"In the last millennium, the first great civilizations emerged.",,
millipede,C,masculine,tisutnjik,X,članak s mnogim nožicama,X,Tisutnjik se spominje kao rijedak primjer srednjovjekovne zoološke nomenklature.,The corporal is mentioned as a rare example of medieval zoological nomenclature.,,
week,A1,masculine,tjedan,X,razdoblje od sedam dana,X,Tjedan ima sedam dana.,A week has seven days.,,
weekly,B1,adjective,tjedni,X,koji se odnosi na razdoblje od sedam dana,X,Pišem tjedni izvještaj za posao.,I write a weekly report for work.,,
weekly,B1,adverb,tjedno,X,jednom tjedno; svaki tjedan,X,Sastanci se održavaju tjedno.,Meetings are held weekly.,,
"physical, bodily, corporal",B2,adjective,tjelesni,X,koji se odnosi na tijelo; tjelesan,X,Tjelesni odgoj važan je za zdravlje učenika.,Physical education is important for students’ health.,,
anxiety,B2,feminine,tjeskoba,X,stanje jakog unutarnjeg pritiska ili nemira,X,Tjeskoba se javlja kao odgovor na trajni emocionalni pritisak.,Anxiety occurs in response to sustained emotional pressure.,,
anxious,B2,adjective,tjeskoban,X,koji pokazuje tjeskobu,X,Postao je tjeskoban svaki put kad bi razgovor prešao na tu temu.,He became anxious every time the conversation turned to that topic.,,
"pasta, paste",A2,feminine,tjestenina,X,hrana od brašna u obliku rezanaca ili cijevi,X,Za večeru jedemo tjesteninu s umakom.,For dinner we are eating pasta with sauce.,,
weave,B2,verb,tkati,X,praviti tkaninu ispreplitanjem niti,X,Umjetnica zna tkati složene uzorke od vune i svile.,The artist knows how to weave complex patterns from wool and silk.,,
who,A1,pronoun,tko,X,zamjenica kojom se pita o osobi,X,Tko je to?,Who is that?,,
whoever,B1,expression,tko god,X,"bilo tko, bez obzira na identitet",X,"Tko god dođe prvi, dobit će nagradu.",Whoever comes first will get the prize.,,
"ground, floor",B2,neuter,tlo,X,površinski sloj zemlje,X,Tlo u ovoj regiji je plodno i pogodno za vinograde.,The soil in this region is fertile and suitable for vineyards.,,
that,A1,pronoun,to,X,zamjenica koja označava neku određenu stvar,X,To je moj prijatelj iz škole.,That is my friend from school.,,
"restroom, toilet",A1,masculine,toalet,X,prostorija u kojoj se obavljaju potrebe tijela,X,Toalet je u hodniku.,The restroom is in the hallway.,,
toilet paper,A2,masculine,toaletni papir,X,papir koji se koristi u kupaonici nakon nužde,X,Toaletni papir je u ormaru.,The toilet paper is in the cupboard.,,
"top, gunner, forward",C,masculine,tobdžija,X,osoba koja upravlja topom ili artiljerijom,X,"Tobdžija u njegovom svijetu nije samo onaj koji vodi igru, nego onaj koji se boji trenutka kad kontrola prestaje biti zaštita.","The top in his world is not only the one who leads the game, but the one who fears the moment when control ceases to be protection.",,
"correct, right",A2,adjective,točan,X,koji je ispravan; bez pogreške,X,Odgovor je točan.,The answer is correct.,,
"period, dot, point",A1,feminine,točka,X,znak koji označuje kraj rečenice ili položaj,X,Točka je na kraju rečenice.,The period is at the end of the sentence.,,
"correctly, exactly",A2,adverb,točno,X,na ispravan ili točan način,X,Odgovor je točno napisan.,The answer is written correctly.,,
toxic,B2,adjective,toksičan,X,koji uzrokuje trovanje,X,Neki odnosi postaju toksični kada izostane iskrena komunikacija.,Some relationships become toxic when honest communication is lacking.,,
such,A2,adjective,tolik,X,koji ima toliku količinu ili mjeru,X,Nikad nisam vidio toliku gužvu u gradu.,I’ve never seen such a crowd in the city.,,
warm,A1,adjective,topao,X,koji daje osjećaj topline,X,Dan je topao.,The day is warm.,,
